ID	Name	Start	End	Chromosome
NA	DDX11L1	11868	14409	1
NA	WASH7P	14403	29570	1
NA	MIR1302-2HG	29553	31109	1
NA	FAM138A	34553	36081	1
NA	AL627309.6	52472	53312	1
NA	OR4G11P	57597	64116	1
NA	OR4F5	65418	71585	1
NA	AL627309.1	89294	133723	1
NA	AL627309.3	89550	91105	1
NA	CICP27	131024	134836	1
NA	AL627309.1	134900	139379	1
NA	AL627309.7	135140	135895	1
NA	AL627309.8	137681	137965	1
NA	AL627309.2	139789	140339	1
NA	AL627309.5	141473	173862	1
NA	RNU6-1100P	157783	157887	1
NA	AL627309.4	160445	161525	1
NA	AP006222.2	227614	267253	1
NA	RP4-669L17.8	326095	328112	1
NA	CICP7	329430	332236	1
NA	RP4-669L17.4	334125	334305	1
NA	OR4F29	367639	368634	1
NA	WBP1LP7	379104	379467	1
NA	AL732372.1	450819	450910	1
NA	RP4-669L17.2	453632	460480	1
NA	RP5-857K21.15	459655	461954	1
NA	RP4-669L17.1	470970	471355	1
NA	AL669831.3	521450	763176	1
NA	AC114498.1	523008	530148	1
NA	MTND1P23	564441	564813	1
NA	MTND2P28	565019	566063	1
NA	MTCO1P12	566453	567996	1
NA	MTCO2P12	568136	568818	1
NA	MTATP8P1	568914	569121	1
NA	MTATP6P1	569075	569756	1
NA	MTCO3P12	569755	570302	1
NA	WBP1LP6	610221	610645	1
NA	OR4F16	621058	622053	1
NA	CICP3	657471	660283	1
NA	AL669831.1	661264	714006	1
NA	RP11-206L10.3	677192	685396	1
NA	RNU6-1199P	693612	693716	1
NA	AL669831.2	696290	697369	1
NA	AL669831.5	714149	745440	1
NA	AL669831.4	736258	753092	1
NA	AL669831.1	738531	739137	1
NA	FAM87B	752750	755217	1
NA	LINC01128	760517	794826	1
NA	LINC00115	761585	762902	1
NA	FAM41C	803450	812283	1
NA	TUBB8P11	808671	809729	1
NA	AL669831.6	809908	812614	1
NA	AL645608.2	818042	819983	1
NA	AL645608.7	840213	851356	1
NA	AL645608.3	846814	850328	1
NA	AL645608.5	849550	850351	1
NA	AL645608.1	852244	856396	1
NA	SAMD11	859307	879961	1
NA	AL645608.1	861263	866445	1
NA	NOC2L	879583	894689	1
NA	KLHL17	895966	901095	1
NA	PLEKHN1	901876	911245	1
NA	PERM1	910583	917473	1
NA	AL645608.8	931345	933431	1
NA	HES4	934341	935552	1
NA	ISG15	936517	949921	1
NA	AL645608.4	943455	943609	1
NA	AL645608.2	947376	948573	1
NA	AGRN	955502	991498	1
NA	AL645608.6	990412	991496	1
NA	AL390719.1	995113	1004735	1
NA	AL645608.9	997587	998668	1
NA	RNF223	1006345	1009687	1
NA	C1orf159	1017197	1051741	1
NA	LINC01342	1072396	1079436	1
NA	MIR200B	1102483	1102578	1
NA	MIR200A	1103242	1103332	1
NA	MIR429	1104384	1104467	1
NA	AL390719.2	1104736	1105723	1
NA	TTLL10-AS1	1108435	1114935	1
NA	TTLL10	1109263	1133315	1
NA	TNFRSF18	1138887	1142071	1
NA	TNFRSF4	1146705	1149518	1
NA	SDF4	1152287	1167411	1
NA	B3GALT6	1167644	1170421	1
NA	C1QTNF12	1177825	1182102	1
NA	AL162741.1	1185156	1186714	1
NA	UBE2J2	1189288	1209265	1
NA	LINC01786	1210602	1215800	1
NA	SCNN1D	1215815	1227409	1
NA	ACAP3	1227755	1244989	1
NA	PUSL1	1243946	1247057	1
NA	INTS11	1246964	1260071	1
NA	AL139287.1	1252960	1254069	1
NA	CPTP	1260135	1264277	1
NA	TAS1R3	1266693	1270686	1
NA	DVL1	1270655	1284730	1
NA	MXRA8	1288068	1297157	1
NA	AURKAIP1	1309109	1310875	1
NA	NDUFB4P8	1314045	1314412	1
NA	CCNL2	1321090	1334708	1
NA	AL391244.1	1334901	1337426	1
NA	MRPL20	1337287	1342693	1
NA	RN7SL657P	1340840	1341132	1
NA	AL391244.3	1344475	1345998	1
NA	ANKRD65	1353799	1357149	1
NA	AL391244.2	1355624	1358071	1
NA	TMEM88B	1361507	1363167	1
NA	LINC01770	1365918	1369953	1
NA	VWA1	1370240	1378262	1
NA	ATAD3C	1385068	1405538	1
NA	ATAD3B	1407148	1433228	1
NA	ATAD3A	1447530	1470067	1
NA	TMEM240	1470553	1475833	1
NA	SSU72	1477052	1510249	1
NA	AL645728.2	1497725	1499904	1
NA	AL645728.1	1510354	1512455	1
NA	AL645728.3	1515135	1515379	1
NA	AL691432.3	1518889	1519289	1
NA	FNDC10	1533391	1535476	1
NA	AL691432.2	1549137	1551175	1
NA	MIB2	1550794	1565990	1
NA	MMP23B	1567473	1570639	1
NA	CDK11B	1570602	1590473	1
NA	FO704657.1	1590785	1594063	1
NA	SLC35E2B	1590989	1624167	1
NA	AL691432.1	1603428	1605836	1
NA	MMP23A	1631380	1633221	1
NA	CDK11A	1634168	1655763	1
NA	AL031282.2	1634174	1669127	1
NA	AL031282.1	1655950	1668690	1
NA	SLC35E2	1656276	1677431	1
NA	NADK	1682670	1711896	1
NA	GNB1	1716723	1822556	1
NA	AL109917.1	1822909	1824097	1
NA	CALML6	1846265	1848735	1
NA	TMEM52	1849028	1850712	1
NA	CFAP74	1853389	1935276	1
NA	AL391845.2	1944651	1946969	1
NA	GABRD	1950736	1962197	1
NA	AL391845.1	1980641	1981509	1
NA	PRKCZ	1981908	2116834	1
NA	AL590822.2	2072522	2076718	1
NA	PRKCZ-AS1	2113232	2115828	1
NA	FAAP20	2115899	2144159	1
NA	AL590822.2	2121236	2123179	1
NA	AL590822.1	2143359	2145620	1
NA	AL590822.1	2143961	2152177	1
NA	SKI	2160133	2241558	1
NA	MORN1	2252691	2323146	1
NA	AL589739.1	2257639	2258132	1
NA	AL589739.1	2258580	2259042	1
NA	AL513477.1	2281852	2284259	1
NA	AL513477.2	2294499	2295067	1
NA	AL513477.1	2316810	2319922	1
NA	RER1	2323213	2336883	1
NA	PEX10	2335402	2345236	1
NA	PLCH2	2357418	2436969	1
NA	AL139246.1	2423738	2424697	1
NA	AL139246.4	2424875	2425918	1
NA	PANK4	2439971	2458067	1
NA	HES5	2460183	2461684	1
NA	AL139246.5	2477903	2478899	1
NA	TNFRSF14-AS1	2481358	2488470	1
NA	TNFRSF14	2487077	2496821	1
NA	AL139246.2	2497848	2501327	1
NA	AL139246.3	2512998	2515972	1
NA	FAM213B	2517929	2522908	1
NA	MMEL1	2522077	2564429	1
NA	AL831784.1	2564006	2568059	1
NA	TTC34	2567414	2718282	1
NA	AC242022.1	2690148	2693019	1
